ind_id,tier_sample,tJX,tW
PT023396456,male,0.13722914688860405,0.0545273717035228
PT023480600,male,0.15306333224533675,0.060738493966533864
PT023802667,male,0.20781711156101093,0.08826948601021717
PT023805915,male,0.1597740870576804,0.08350603793269845
PT023974753,male,0.15480512084110673,0.04647023371818181
PT024513869,male,0.1432392910941589,0.052662148816073416
PT123621789,male,0.19721904073779953,0.03143094538528117
PT123769875,male,0.1496527456319989,0.05890763006525558
PT123799896,male,0.1382908565220286,0.07854841868590433
PT124148445,male,0.17994947024692134,0.028977088790717333
PT124515292,male,0.13523891908907545,0.06903300830760045
PT133012645,male,0.15072661949181962,0.07580218931843985
PT223476701,male,0.17042611050875522,0.03459421002494087
PT223767729,male,0.18061407182861466,0.05106208086929561
PT223802666,male,0.1765769543749667,0.07630116216175355
PT224513004,male,0.12381412692903827,0.07273462479483915
PT224957247,male,0.14486026417068418,0.09262874159768468
PT323474933,male,0.17853747083991187,0.104003556303036
PT324096615,male,0.12486823468545638,0.06932326892179426
PT423396430,male,0.1452799414006965,0.04522493395119478
PT423620929,male,0.18150318565173262,0.08754229654664611
PT423621858,male,0.12019643267999551,0.06538388549306806
PT424513003,male,0.10082286414617592,0.08348535120794318
PT424986494,male,0.13483530724336643,0.03700610058518262
PT523085848,male,0.1397239482279576,0.060734907429261444
PT523583719,male,0.4999518351209935,0.04078498710791563
PT523769910,male,0.20669758756961457,0.0963934617627424
PT523799875,male,0.11882561167555068,0.0730806392186294
PT524015264,male,0.11977816531603183,0.07158669603268931
PT524148448,male,0.13165879550357767,0.061629046753626
PT524914685,male,0.1818104559321982,0.04253801122896838
PT524987172,male,0.23163322445813087,0.03803517004070121
PT623583704,male,0.17310116339065076,0.05106208086929561
PT623806020,male,0.11595724602753958,0.07853465236910294
PT623806044,male,0.14495410500835715,0.094576898765753
PT624096609,male,0.1250311213552591,0.11233692867922185
PT624513002,male,0.12334240532182808,0.07638807651091063
PT624987181,male,0.12518079898499906,0.07753614427802155
PT633012794,male,0.39115240842757815,0.023015635784397956
PT633027441,male,0.14346572641741726,0.07828855004545596
PT723474950,male,0.16298660307353285,0.03531056648154209
PT723658015,male,0.14938471916955975,0.044639971591849646
PT723767731,male,0.137556205148443,0.058314749468183776
PT723805945,male,0.18261910514841306,0.06725674720478514
PT724513856,male,0.10061354893903707,0.07815739077485538
PT733027431,male,0.11394220734573697,0.07528258701080676
PT823583722,male,0.13896597772138736,0.09682434158887747
PT824914674,male,0.13478268097782764,0.07002462808896234
PT923583699,male,0.18141116072052121,0.06502691807482047
PT923712082,male,0.18056817667674793,0.0486850380249312
PT923966027,male,0.13071625886153757,0.020866349723580264
PT924854279,male,0.12105488340080132,0.10072401512540892
