data,value,prediction,error
ab,284.0,275.66176903611654,0.029359968182688247
am,7300.0,7299.831821903154,2.303809545830443e-05
Ri,0.0022271714922048997,0.002230544918016779,0.0015146681895338225
tx_f,210.0,223.19553410755452,0.06283587670264058
tp_f,288.9583333333333,314.43996577651086,0.08818445257912921
Lhi_f,155.0,150.26378116436322,0.030556250552495334
Wwb_f,46000.0,47465.41809196702,0.03185691504276126
Wwx_f,155400.0,142501.26719037243,0.08300342863338207
Wwp_f,205000.0,182995.93956079686,0.10733688019123482
Wwi_f,400000.0,447137.1219653497,0.11784280491337427
tx_m,210.0,212.30373924076665,0.010970186860793553
tp_m,349.7916666666667,383.5057166219654,0.0963832279841774
Lhi_m,165.0,170.2415184445449,0.031766778451787325
Wwb_m,46000.0,53256.883527177,0.1577583375473261
Wwx_m,177800.0,175388.0753407661,0.013565380535623676
Wwp_m,320000.0,287164.85079516383,0.10260984126511302
Wwi_m,700000.0,729579.5949931246,0.042256564275892285
