ind_id,tier_sample,tJX,tW
PT023396456,male,0.13594918333844716,0.060434317450057694
PT023480600,male,0.1516045193807489,0.07106918198947722
PT023802667,male,0.20724652477152267,0.09749023692488172
PT023805915,male,0.15813364719315795,0.08923193622836095
PT023974753,male,0.1539001092041171,0.0544614379869596
PT024513869,male,0.14285846907230126,0.06439517782992178
PT123621789,male,0.1962309495495693,0.03981551187643725
PT123769875,male,0.14771124946621655,0.06407272132053968
PT123799896,male,0.13718538281160475,0.08868322007364966
PT124148445,male,0.17667609902148285,0.04529971439313589
PT124515292,male,0.13762472499070602,0.07443914511180262
PT133012645,male,0.14862831355800446,0.08952962503767975
PT223476701,male,0.16949303071164584,0.045622987153784836
PT223767729,male,0.18035993279910684,0.06059635475724031
PT223802666,male,0.17578822067240601,0.08678730777163682
PT224513004,male,0.12454147091707697,0.07952140638496008
PT224957247,male,0.14447455671165826,0.1019684843879295
PT323474933,male,0.17833647326386368,0.1140476672079768
PT324096615,male,0.12606633494126296,0.07618782847625498
PT423396430,male,0.14470591339001848,0.05264691628776532
PT423620929,male,0.17985664922446512,0.09516749604774156
PT423621858,male,0.1186645390292098,0.07055965139112685
PT424513003,male,0.10051190078019503,0.0916085055369538
PT424986494,male,0.13507808201543442,0.046214993987823395
PT523085848,male,0.13831199179423245,0.07434175252120638
PT523583719,male,0.5009064285176233,0.05078910073951351
PT523769910,male,0.20508596756091227,0.10341768349253751
PT523799875,male,0.11745946408484689,0.08245500194160488
PT524015264,male,0.12030605194206893,0.08076947345434803
PT524148448,male,0.12960641144139604,0.07460131660663254
PT524914685,male,0.17896744221190142,0.05659130034062203
PT524987172,male,0.23337539132564816,0.04337557410213721
PT623583704,male,0.17216501017657124,0.06059635475724031
PT623806020,male,0.11594981032256783,0.08517495855045838
PT623806044,male,0.14422755241070892,0.104144399721671
PT624096609,male,0.12385515039373898,0.11819477416341767
PT624513002,male,0.1233675937978893,0.08325312107902962
PT624987181,male,0.12645431391076897,0.08256406205778304
PT633012794,male,0.3905564764098429,0.018284440123818232
PT633027441,male,0.1441989267642727,0.08949342204227397
PT723474950,male,0.1599590702216503,0.04945252940929984
PT723658015,male,0.1474716510433096,0.057367876675017124
PT723767731,male,0.13661126912656166,0.06740763886998426
PT723805945,male,0.18056430161431666,0.07578997572880983
PT724513856,male,0.1008445178881869,0.08758364994727547
PT733027431,male,0.11406798233825294,0.08430674858871717
PT823583722,male,0.13836545557511934,0.10466147534416675
PT824914674,male,0.1347705433097291,0.08105073588621518
PT923583699,male,0.1799533122352125,0.07639419812074218
PT923712082,male,0.1794322108515344,0.06068777487175733
PT923966027,male,0.13057153055661755,0.03261527458155274
PT924854279,male,0.12104369550502478,0.11278556584768595
