,breed,trial,individual
PT223476701,male,Trial2020,PT223476701
PT123769875,male,Trial2020,PT123769875
PT723474950,male,Trial2020,PT723474950
PT723658015,male,Trial2020,PT723658015
PT723767731,male,Trial2020,PT723767731
PT523769910,male,Trial2020,PT523769910
PT023805915,male,Trial2020,PT023805915
PT023480600,male,Trial2020,PT023480600
PT123621789,male,Trial2020,PT123621789
PT623583704,male,Trial2020,PT623583704
PT023802667,male,Trial2020,PT023802667
PT423396430,male,Trial2020,PT423396430
PT123799896,male,Trial2020,PT123799896
PT523799875,male,Trial2020,PT523799875
PT723805945,male,Trial2020,PT723805945
PT923583699,male,Trial2020,PT923583699
PT223767729,male,Trial2020,PT223767729
PT023974753,male,Trial2020,PT023974753
PT523085848,male,Trial2020,PT523085848
PT423620929,male,Trial2020,PT423620929
PT023396456,male,Trial2020,PT023396456
PT923966027,male,Trial2020,PT923966027
PT423621858,male,Trial2020,PT423621858
PT323474933,male,Trial2020,PT323474933
PT223802666,male,Trial2020,PT223802666
PT633012794,male,Trial2021,PT633012794
PT523583719,male,Trial2021,PT523583719
PT623806044,male,Trial2021,PT623806044
PT923712082,male,Trial2021,PT923712082
PT124148445,male,Trial2021,PT124148445
PT624987181,male,Trial2021,PT624987181
PT633027441,male,Trial2021,PT633027441
PT624513002,male,Trial2021,PT624513002
PT424513003,male,Trial2021,PT424513003
PT133012645,male,Trial2021,PT133012645
PT924854279,male,Trial2021,PT924854279
PT824914674,male,Trial2021,PT824914674
PT224957247,male,Trial2021,PT224957247
PT224513004,male,Trial2021,PT224513004
PT733027431,male,Trial2021,PT733027431
PT823583722,male,Trial2021,PT823583722
PT524914685,male,Trial2021,PT524914685
PT124515292,male,Trial2021,PT124515292
PT524987172,male,Trial2021,PT524987172
PT024513869,male,Trial2021,PT024513869
PT524015264,male,Trial2021,PT524015264
PT724513856,male,Trial2021,PT724513856
PT624096609,male,Trial2021,PT624096609
PT623806020,male,Trial2021,PT623806020
PT424986494,male,Trial2021,PT424986494
PT324096615,male,Trial2021,PT324096615
PT524148448,male,Trial2021,PT524148448
