ind_id,tier_sample,tJX,tW
PT023396456,PT023396456,0.13357569730185456,0.04273436892874543
PT023480600,PT023480600,0.15752880447043927,0.05334051934634072
PT023802667,PT023802667,0.20188673860481576,0.08030704000115421
PT023805915,PT023805915,0.15389842286476801,0.0720744898219929
PT023974753,PT023974753,0.1607005417977872,0.0391845321737593
PT024513869,PT024513869,0.14552077629805465,0.04579852081941286
PT123621789,PT123621789,0.206050216449072,0.021607056494551902
PT123769875,PT123769875,0.14535269505672754,0.046478510821544985
PT123799896,PT123799896,0.1335746392238601,0.07129072168830627
PT124148445,PT124148445,0.18673649381683907,0.026109042344452563
PT124515292,PT124515292,0.14667919566720736,0.05635780952017801
PT133012645,PT133012645,0.1563717451637666,0.07131788426232681
PT223476701,PT223476701,0.17597329023156988,0.027388193314817
PT223767729,PT223767729,0.1748278437550798,0.04271393301544056
PT223802666,PT223802666,0.17155244870328218,0.06934199768718731
PT224513004,PT224513004,0.13109290666788312,0.06146628143371465
PT224957247,PT224957247,0.14745202237550348,0.08421523314502412
PT323474933,PT323474933,0.17196394260525036,0.09712961011306377
PT324096615,PT324096615,0.1318755794871623,0.05806458571898789
PT423396430,PT423396430,0.1469722693165442,0.03472486353496716
PT423620929,PT423620929,0.1745398172724054,0.07802241324976157
PT423621858,PT423621858,0.11538590169818047,0.05308497797732231
PT424513003,PT424513003,0.10337381775237463,0.07371760735637618
PT424986494,PT424986494,0.1431716617055222,0.027395941820885124
PT523085848,PT523085848,0.1423567678257577,0.05651007820880347
PT523583719,PT523583719,0.5194461762525034,0.032017827378000394
PT523769910,PT523769910,0.19649335186769934,0.08645611356687961
PT523799875,PT523799875,0.11879060609381618,0.06498554395557939
PT524015264,PT524015264,0.12409529673687687,0.06261622651039549
PT524148448,PT524148448,0.1341324864228579,0.05613945824203479
PT524914685,PT524914685,0.1911253565731109,0.037729556884890984
PT524987172,PT524987172,0.2417282955878278,0.024700191327667806
PT623583704,PT623583704,0.16986905542381414,0.04291894821211046
PT623806020,PT623806020,0.1157440911205192,0.06723610740034859
PT623806044,PT623806044,0.13884194606380013,0.08642152338743019
PT624096609,PT624096609,0.11892139688395056,0.10093132910875906
PT624513002,PT624513002,0.12032704018146215,0.06526576634193913
PT624987181,PT624987181,0.131124561066562,0.06465818117483044
PT633012794,PT633012794,0.4055128868595629,0.0276392193940565
PT633027441,PT633027441,0.1497225019326532,0.07140630373210519
PT723474950,PT723474950,0.16476078340204872,0.031133425368289915
PT723658015,PT723658015,0.1525784556766995,0.03926526060601294
PT723767731,PT723767731,0.13578958977507485,0.04967374530264815
PT723805945,PT723805945,0.1861031117382783,0.058239759347326316
PT724513856,PT724513856,0.09947926451953362,0.06954921179762584
PT733027431,PT733027431,0.11358092556646773,0.06622960051992287
PT823583722,PT823583722,0.1305068769844893,0.08703627936760987
PT824914674,PT824914674,0.1438263090612523,0.06281005719188486
PT923583699,PT923583699,0.1773328298981914,0.05871210308175811
PT923712082,PT923712082,0.19083046557998007,0.04200669593453584
PT923966027,PT923966027,0.13215707154821868,0.015722727541430243
PT924854279,PT924854279,0.11787034654014499,0.09510413069018923
