tier_sample,estim_time,tJX,tW
PT023805915,1.255909,0.15389842286476801,0.0720744898219929
PT523799875,1.092932,0.11879060609381618,0.06498554395557939
PT723658015,1.237053,0.1525784556766995,0.03926526060601294
PT623583704,1.135017,0.16986905542381414,0.04291894821211046
PT923966027,1.062122,0.13215707154821868,0.015722727541430243
PT523769910,1.060771,0.19649335186769934,0.08645611356687961
PT023396456,1.094362,0.13357569730185456,0.04273436892874543
PT723474950,1.02267,0.16476078340204872,0.031133425368289915
PT023480600,1.063665,0.15752880447043927,0.05334051934634072
PT523085848,1.063336,0.1423567678257577,0.05651007820880347
PT223476701,1.043914,0.17597329023156988,0.027388193314817
PT123769875,1.077967,0.14535269505672754,0.046478510821544985
PT223802666,1.067713,0.17155244870328218,0.06934199768718731
PT023802667,1.070648,0.20188673860481576,0.08030704000115421
PT323474933,1.076496,0.17196394260525036,0.09712961011306377
PT123621789,1.047617,0.206050216449072,0.021607056494551902
PT123799896,1.072105,0.1335746392238601,0.07129072168830627
PT023974753,1.058951,0.1607005417977872,0.0391845321737593
PT723767731,1.056378,0.13578958977507485,0.04967374530264815
PT923583699,1.057514,0.1773328298981914,0.05871210308175811
PT423396430,1.066227,0.1469722693165442,0.03472486353496716
PT223767729,1.053468,0.1748278437550798,0.04271393301544056
PT423621858,1.061884,0.11538590169818047,0.05308497797732231
PT723805945,1.060556,0.1861031117382783,0.058239759347326316
PT423620929,1.044041,0.1745398172724054,0.07802241324976157
PT024513869,1.05894,0.14552077629805465,0.04579852081941286
PT424513003,1.062183,0.10337381775237463,0.07371760735637618
PT524987172,1.030837,0.2417282955878278,0.024700191327667806
PT624987181,1.0505,0.131124561066562,0.06465818117483044
PT824914674,1.06189,0.1438263090612523,0.06281005719188486
PT424986494,1.041397,0.1431716617055222,0.027395941820885124
PT623806044,1.060406,0.13884194606380013,0.08642152338743019
PT923712082,1.034085,0.19083046557998007,0.04200669593453584
PT224957247,1.057151,0.14745202237550348,0.08421523314502412
PT823583722,1.05163,0.1305068769844893,0.08703627936760987
PT623806020,1.053081,0.1157440911205192,0.06723610740034859
PT733027431,1.02631,0.11358092556646773,0.06622960051992287
PT724513856,0.967536,0.09947926451953362,0.06954921179762584
PT624513002,0.946458,0.12032704018146215,0.06526576634193913
PT633027441,0.964893,0.1497225019326532,0.07140630373210519
PT224513004,0.949103,0.13109290666788312,0.06146628143371465
PT524914685,0.96754,0.1911253565731109,0.037729556884890984
PT624096609,0.949071,0.11892139688395056,0.10093132910875906
PT124148445,0.930681,0.18673649381683907,0.026109042344452563
PT523583719,0.924084,0.5194461762525034,0.032017827378000394
PT924854279,0.951739,0.11787034654014499,0.09510413069018923
PT524148448,0.953041,0.1341324864228579,0.05613945824203479
PT524015264,0.960967,0.12409529673687687,0.06261622651039549
PT124515292,0.981985,0.14667919566720736,0.05635780952017801
PT633012794,0.925429,0.4055128868595629,0.0276392193940565
PT324096615,0.955621,0.1318755794871623,0.05806458571898789
PT133012645,0.868308,0.1563717451637666,0.07131788426232681
