tier_sample,estim_time,tJX,tW
PT023805915,3.8232660000000003,0.13965889039981771,0.031191563453129
PT523799875,3.852735,0.12375092259190927,0.03251615264511774
PT723658015,4.04563,0.14950856766933232,0.02467140532191116
PT623583704,4.316878,0.16138068673821904,0.023320247850266384
PT923966027,4.252561,0.13074304110904197,0.008420435704062377
PT523769910,4.335811,0.10201001629880602,0.03490503947680474
PT023396456,4.3522680000000005,0.13000325130909776,0.018447674123043687
PT723474950,4.928245,0.16483375949260617,0.026898400539666013
PT023480600,4.63753,0.15240071745401737,0.034131515397220015
PT523085848,4.668545,0.1409627673579556,0.028535339526766682
PT223476701,5.00803,0.15863818520835893,0.01893790176400127
PT123769875,5.235309,0.13012296874092458,0.024778225138449895
PT223802666,5.089674,0.1454609577058468,0.03138636608288372
PT023802667,4.96203,0.152140947418244,0.034549015414955274
PT323474933,5.105895,0.13056886032086776,0.04515505749568578
PT123621789,5.009504,0.17651229629180656,0.027226006015931562
PT123799896,5.263993,0.12331613727308673,0.03507604108100831
PT023974753,5.022667,0.14654262057588768,0.02526369931373895
PT723767731,5.016823,0.13665926108970514,0.02327829168942704
PT923583699,4.879523,0.1561806004132624,0.03452915602454216
PT423396430,5.16277,0.14833181879213897,0.019674098195928646
PT223767729,4.651479,0.14633564479455452,0.013192598560729683
PT423621858,4.396686,0.11397337175125496,0.022732736196638594
PT723805945,4.3650590000000005,0.19118692633199116,0.04336168196586412
PT423620929,4.229671,0.14087956796016546,0.040829979582434936
PT024513869,4.234249,0.1438183278171286,0.015469484238047667
PT424513003,4.229042,0.10393027315189918,0.030649421101929974
PT524987172,3.742241,0.19763065842713207,0.018440452419135746
PT624987181,3.490951,0.11580506600376454,0.023662792010148082
PT824914674,3.75239,0.10052074291686953,0.024549421626421222
PT424986494,3.275999,0.11729439324618751,0.011099200573561471
PT623806044,3.223433,0.11557978004425579,0.0395100501591987
PT923712082,3.213833,0.13627913346709875,0.018496933882608774
PT224957247,3.100812,0.14622945606254678,0.03894142772218214
PT823583722,3.101473,0.1024542390750998,0.028633818327991965
PT623806020,2.925261,0.1155775945623262,0.027521736746485607
PT733027431,2.846195,0.11395688099482933,0.02268034547761983
PT724513856,2.673201,0.09964021906047013,0.025346386690624334
PT624513002,2.799099,0.1175648258242367,0.02079993991169631
PT633027441,2.794752,0.12089356671851316,0.025127869722863093
PT224513004,2.760068,0.11585111236857289,0.024374307553347508
PT524914685,2.832754,0.13294924844862338,0.01729624576832903
PT624096609,3.047961,0.10377318958069735,0.03597551575509795
PT124148445,3.304142,0.13485644297202906,0.010355487449649129
PT523583719,3.284368,0.1755161862971696,0.014933311337663882
PT924854279,3.339953,0.11275757300240837,0.04088964917351873
PT524148448,3.506457,0.13454949555571954,0.02600257235403562
PT524015264,3.5972939999999998,0.11218577678203082,0.019973872566569333
PT124515292,3.562168,0.10086323336693315,0.02226200982111981
PT633012794,4.072823,0.19734899498494107,0.016971524299487353
PT324096615,3.7248419999999998,0.11116093447223721,0.017366590336298407
PT133012645,3.874698,0.12842532775899737,0.03390087951139008
