tier_sample,estim_time,tJX,tW
PT023805915,1.162823,0.1344756620068138,0.08736621477211415
PT623583704,0.949098,0.15829770311417557,0.05976550233702409
PT923966027,1.067707,0.1301619739304677,0.03124942452539283
PT423620929,0.989805,0.13050611855668087,0.09463694022531725
PT723805945,0.962128,0.18250251051193292,0.07416920832269555
PT523799875,1.057993,0.11631355644460865,0.0803860132366158
PT523085848,0.945227,0.13719303986375814,0.07288136931807927
PT723767731,1.040541,0.13275659657607142,0.06581916304859191
PT223767729,0.998618,0.14686674734479332,0.060364609129053955
PT223476701,0.821994,0.15653795609807164,0.04317589220598918
PT123769875,0.830272,0.1254061485711221,0.0630846477102322
PT123621789,0.875092,0.1743757655070963,0.0367434037914199
PT023974753,0.843038,0.1413662628121405,0.05210760699411763
PT023396456,0.778116,0.1257642348980111,0.05866780277191724
PT523769910,0.816071,0.09689416682277448,0.10324592711678383
PT223802666,0.823818,0.1399793067649399,0.08665674680525902
PT423396430,0.803091,0.14495539141785352,0.05014061749176015
PT323474933,0.786621,0.12617874131538076,0.11383730322602792
PT723658015,0.767206,0.1445444657314046,0.05590045303359127
PT923583699,0.746667,0.14952958808298578,0.07651230277470185
PT023480600,0.770205,0.14735383667758284,0.06867452560029194
PT123799896,0.745185,0.11612481465890588,0.08756416672667218
PT423621858,0.81042,0.10923980749107158,0.06791389538890717
PT023802667,0.800161,0.14853962684769106,0.09745555552219877
PT723474950,0.767587,0.1601251420042788,0.04853446466828378
PT923712082,0.837749,0.13352344631167684,0.05735314689378825
PT624096609,0.835257,0.10949312530834629,0.1143419695868513
PT733027431,0.814771,0.11378559796323437,0.08147111714557613
PT524015264,0.760739,0.1123002526452632,0.07713292469779418
PT623806044,0.813818,0.10834808196867572,0.10292175432680928
PT424513003,0.7701,0.10000637781676494,0.08808589612512424
PT524987172,0.839039,0.19604000203503633,0.03761450943511
PT633012794,0.911533,0.19901220882783682,0.02067562034202176
PT924854279,0.900496,0.11085595512943747,0.11129957191666169
PT633027441,0.767976,0.12384343790809903,0.08632126232054178
PT624987181,0.790493,0.11554752881596543,0.07695739323045848
PT523583719,0.82885,0.17484711487960677,0.04371042290556783
PT524148448,0.80336,0.12901214032961159,0.07276032298977736
PT724513856,0.78855,0.1002478596949271,0.08481279149686553
PT224513004,0.759219,0.11339155192358363,0.0747996201974744
PT224957247,0.774265,0.14260634399948857,0.09879840011031157
PT624513002,0.804365,0.12148179441015124,0.07953131152048334
PT424986494,0.776053,0.11441745806199696,0.04242273987913293
PT024513869,0.772662,0.1411391303005876,0.06230209530850851
PT133012645,0.763514,0.12450223811344528,0.0874452828575184
PT124515292,0.773597,0.09910950613634768,0.06825853016818424
PT824914674,0.746481,0.09902933049777612,0.0776233845746798
PT324096615,0.79706,0.11189018439259465,0.07130030738428887
PT524914685,0.765315,0.13012601371120291,0.05410718044670372
PT623806020,0.792184,0.11581817723497703,0.0809717009918581
PT124148445,0.776967,0.13322660216317594,0.04370811348883648
PT823583722,0.794202,0.10434944282780474,0.10218481284189933
