ind_id,tier_sample,tJX,tW
PT023396456,PT023396456,0.12565166555411258,0.060434317450057756
PT023480600,PT023480600,0.1471040029090322,0.07106918198947719
PT023802667,PT023802667,0.14854915343172787,0.09749023692488196
PT023805915,PT023805915,0.1342989550692997,0.08923193622836102
PT023974753,PT023974753,0.141400510503815,0.05446143798695969
PT024513869,PT024513869,0.14114295069347582,0.06439517782992173
PT123621789,PT123621789,0.17381642276225268,0.039815511876437414
PT123769875,PT123769875,0.12530305478069068,0.06407272132053973
PT123799896,PT123799896,0.1157933019424404,0.08868322007364964
PT124148445,PT124148445,0.1332999526214373,0.04529971439313576
PT124515292,PT124515292,0.09922779953381239,0.0744391451118024
PT133012645,PT133012645,0.1244665586987026,0.0895296250376794
PT223476701,PT223476701,0.15647631935553297,0.0456229871537851
PT223767729,PT223767729,0.1468742393967368,0.06059635475724005
PT223802666,PT223802666,0.13996380887338006,0.08678730777163678
PT224513004,PT224513004,0.11322503485872801,0.07952140638495993
PT224957247,PT224957247,0.1425863061912478,0.10196848438792969
PT323474933,PT323474933,0.12617068077858337,0.1140476672079769
PT324096615,PT324096615,0.11227221859867047,0.07618782847625509
PT423396430,PT423396430,0.1447483384770862,0.05264691628776536
PT423620929,PT423620929,0.1303872188256991,0.09516749604774173
PT423621858,PT423621858,0.10908036632019648,0.07055965139112677
PT424513003,PT424513003,0.09981776446966371,0.09160850553695388
PT424986494,PT424986494,0.11389763736461082,0.04621499398782326
PT523085848,PT523085848,0.1370123340407925,0.0743417525212063
PT523583719,PT523583719,0.17702740918076443,0.05078910073951368
PT523769910,PT523769910,0.09691974968218227,0.10341768349253756
PT523799875,PT523799875,0.11592658284310757,0.08245500194160511
PT524015264,PT524015264,0.11250758039852968,0.08076947345434797
PT524148448,PT524148448,0.1287777367670492,0.07460131660663241
PT524914685,PT524914685,0.13005636046236826,0.05659130034062207
PT524987172,PT524987172,0.19598305023242954,0.04337557410213725
PT623583704,PT623583704,0.15825862401583526,0.06059635475724006
PT623806020,PT623806020,0.11590321656558385,0.08517495855045852
PT623806044,PT623806044,0.10829642403829022,0.10414439972167122
PT624096609,PT624096609,0.1098349479699356,0.11819477416341738
PT624513002,PT624513002,0.12168206914947918,0.08325312107902945
PT624987181,PT624987181,0.11587556466412284,0.08256406205778304
PT633012794,PT633012794,0.19874707303294326,0.018284440123818337
PT633027441,PT633027441,0.12422186239740857,0.08949342204227391
PT723474950,PT723474950,0.1599129528037361,0.04945252940929989
PT723658015,PT723658015,0.14466280507225204,0.05736787667501724
PT723767731,PT723767731,0.13269894436494145,0.06740763886998427
PT723805945,PT723805945,0.18215582652526022,0.07578997572880973
PT724513856,PT724513856,0.1003505686963365,0.08758364994727537
PT733027431,PT733027431,0.11388059461956375,0.08430674858871691
PT823583722,PT823583722,0.10443588937474436,0.10466147534416685
PT824914674,PT824914674,0.09920643741157487,0.08105073588621543
PT923583699,PT923583699,0.14958991027836605,0.07639419812074234
PT923712082,PT923712082,0.1331613543517465,0.06068777487175756
PT923966027,PT923966027,0.13022207142827313,0.032615274581552924
PT924854279,PT924854279,0.1108876169831281,0.11278556584768591
