tier_sample,estim_time,tJX,tW
PT023805915,0.598758,0.13429895506929967,0.08923193622836102
PT623583704,0.48965,0.1582586240158352,0.06059635475724006
PT923966027,0.521427,0.13022207142827313,0.032615274581552924
PT423620929,0.479353,0.1303872188256991,0.09516749604774173
PT723805945,0.490458,0.1821558265252602,0.07578997572880973
PT523799875,0.485759,0.11592658284310757,0.08245500194160511
PT523085848,0.523703,0.1370123340407925,0.0743417525212063
PT723767731,0.502482,0.13269894436494145,0.06740763886998427
PT223767729,0.511715,0.1468742393967368,0.06059635475724005
PT223476701,0.484271,0.15647631935553297,0.0456229871537851
PT123769875,0.496858,0.12530305478069068,0.06407272132053973
PT123621789,0.510708,0.17381642276225273,0.039815511876437414
PT023974753,0.518824,0.14140051050381497,0.05446143798695969
PT023396456,0.478306,0.12565166555411256,0.060434317450057756
PT523769910,0.487054,0.0969197496821823,0.10341768349253756
PT223802666,0.478019,0.13996380887338006,0.08678730777163678
PT423396430,0.498346,0.14474833847708618,0.05264691628776536
PT323474933,0.475804,0.12617068077858337,0.1140476672079769
PT723658015,0.480063,0.14466280507225204,0.05736787667501724
PT923583699,0.481241,0.14958991027836605,0.07639419812074234
PT023480600,0.50204,0.1471040029090322,0.07106918198947719
PT123799896,0.51197,0.11579330194244039,0.08868322007364964
PT423621858,0.490698,0.10908036632019648,0.07055965139112677
PT023802667,0.467213,0.14854915343172784,0.09749023692488196
PT723474950,0.522702,0.15991295280373613,0.04945252940929989
PT923712082,0.510338,0.13316135435174647,0.06068777487175756
PT624096609,0.506087,0.10983494796993562,0.11819477416341738
PT733027431,0.48156,0.11388059461956374,0.08430674858871691
PT524015264,0.487123,0.11250758039852966,0.08076947345434797
PT623806044,0.492108,0.10829642403829019,0.10414439972167122
PT424513003,0.50344,0.09981776446966371,0.09160850553695388
PT524987172,0.471946,0.1959830502324295,0.04337557410213725
PT633012794,0.513127,0.19874707303294328,0.018284440123818337
PT924854279,0.484345,0.11088761698312811,0.11278556584768591
PT633027441,0.475258,0.12422186239740857,0.08949342204227391
PT624987181,0.497536,0.11587556466412287,0.08256406205778304
PT523583719,0.541052,0.17702740918076446,0.05078910073951368
PT524148448,0.471848,0.12877773676704915,0.07460131660663241
PT724513856,0.48017,0.10035056869633649,0.08758364994727537
PT224513004,0.499131,0.11322503485872801,0.07952140638495993
PT224957247,0.523001,0.1425863061912478,0.10196848438792969
PT624513002,0.510986,0.12168206914947918,0.08325312107902945
PT424986494,0.594662,0.11389763736461084,0.04621499398782326
PT024513869,0.531554,0.14114295069347582,0.06439517782992173
PT133012645,0.548457,0.12446655869870263,0.0895296250376794
PT124515292,0.560803,0.0992277995338124,0.0744391451118024
PT824914674,0.479379,0.09920643741157487,0.08105073588621543
PT324096615,0.484859,0.11227221859867048,0.07618782847625509
PT524914685,0.507678,0.13005636046236826,0.05659130034062207
PT623806020,0.4828,0.11590321656558386,0.08517495855045852
PT124148445,0.50239,0.1332999526214373,0.04529971439313576
PT823583722,0.574656,0.10443588937474436,0.10466147534416685
