tier_sample,p_Am,kap
PT023805915,4925.675589553459,0.9860188879108333
PT523799875,4529.740895489049,0.9818707050634746
PT723658015,4288.311621389785,0.9784849535773787
PT623583704,4730.2937095776015,0.9567215327318377
PT923966027,4295.064664887386,0.9785909141716989
PT523769910,5503.795943371262,0.9592704360693889
PT023396456,4683.764656622137,0.9671319703067817
PT723474950,4308.576229345316,0.9632063724994707
PT023480600,4244.279609921432,0.9777761787371748
PT523085848,4334.418560217779,0.9791944513807227
PT223476701,4106.968837233942,0.9753495528891423
PT123769875,4888.270746378654,0.9457263365196151
PT223802666,5079.595207388182,0.9583238901564088
PT023802667,5294.748719795254,0.9599483041981158
PT323474933,5268.3192137324795,0.9816960522084693
PT123621789,3978.2135683008682,0.9727316256724299
PT123799896,4755.700722390266,0.9844148962146673
PT023974753,4206.733439364032,0.9771463599006066
PT723767731,4577.0176020764875,0.9824473252722943
PT923583699,4985.126577881546,0.929237071376853
PT423396430,4369.602675168282,0.9797145503002709
PT223767729,4977.035506929082,0.945580918172835
PT423621858,4636.228830030663,0.9831349054269622
PT723805945,4447.6886806944085,0.9716955731230272
PT423620929,5087.998350680682,0.9590486730696548
PT024513869,4372.269202805986,0.9797532415107114
PT424513003,4456.867404532739,0.9809302862592615
PT524987172,4284.722008923871,0.9784283380505522
PT624987181,4320.620222453321,0.9789855131496865
PT824914674,4284.722008923871,0.9784283380505522
PT424986494,4284.722008923871,0.9784283380505522
PT623806044,4902.404450360866,0.9858129146389788
PT923712082,4284.722008923871,0.9784283380505522
PT224957247,4440.604404984159,0.9807113911460807
PT823583722,4957.919734796039,0.9862976475955794
PT623806020,4542.529691825177,0.9820291972478244
PT733027431,4540.760146738021,0.9820073798003557
PT724513856,4528.16646364802,0.9818510617930507
PT624513002,4548.924567911894,0.9821077430647727
PT633027441,4284.722008923871,0.9784283380505522
PT224513004,4284.722008923871,0.9784283380505522
PT524914685,4284.722008923871,0.9784283380505522
PT624096609,4951.1431916207,0.986239690931088
PT124148445,4284.722008923871,0.9784283380505522
PT523583719,4284.722008923871,0.9784283380505522
PT924854279,4735.7030651700425,0.98421005506352
PT524148448,4326.631172141913,0.9790768829740604
PT524015264,4352.483888186551,0.9794637397239252
PT124515292,4284.722008923871,0.9784283380505522
PT633012794,4284.722008923871,0.9784283380505522
PT324096615,4295.528268335802,0.9785981623145782
PT133012645,4284.722008923871,0.9784283380505522
