tier_sample,p_Am,kap_X
PT423620929,5002.281888688452,0.111115081190825
PT723805945,4648.856461464751,0.1194278716003357
PT523799875,4875.954670854484,0.12355092108650258
PT923583699,4801.125776074978,0.10983249945925577
PT523769910,5257.333827747119,0.10722505162342345
PT123621789,4373.5763365944385,0.1277158490453021
PT123769875,4806.155412435696,0.11193360889834933
PT023802667,5137.948852021045,0.10920597541285837
PT023480600,4675.834949540314,0.12784397207140052
PT223802666,4997.686071682742,0.11118079721246378
PT723767731,4798.895556596209,0.11922020430835611
PT223767729,4866.045563716949,0.11103626343095532
PT223476701,4534.625020250133,0.12849711919821566
PT623583704,4765.216390804937,0.11475516366377989
PT423621858,4864.486301066007,0.11922535537341306
PT723474950,4506.438931953406,0.12026590015305524
PT023396456,4784.05536675688,0.11616722041683697
PT523085848,4785.892908932663,0.12837488724961446
PT923966027,4569.898227055029,0.12193294395740348
PT423396430,4668.04757982126,0.12234924550320658
PT723658015,4621.842416644611,0.12413144614914395
PT323474933,5243.307548264645,0.11155853312613594
PT023974753,4635.1859580940745,0.12787345500040606
PT123799896,4950.238984190613,0.11801254445364731
PT023805915,5044.762741024781,0.11545021921866332
PT124148445,4615.231345243734,0.1360159011852647
PT733027431,5020.194387697571,0.12680222000019975
PT524015264,4984.112114278702,0.13337458903094865
PT524914685,4659.532093893687,0.13912551358433356
PT824914674,4902.379727732169,0.13905909772586067
PT124515292,4856.792477525765,0.13885562560093084
PT624987181,4973.428309482318,0.1338611819365034
PT923712082,4698.759161423421,0.14005596884272078
PT424986494,4640.4260234639505,0.13292917012571032
PT633027441,5021.518678783179,0.13826483454048083
PT724513856,5028.293706949649,0.1276200047815733
PT623806044,5116.266012243061,0.11706118473133008
PT524148448,4815.634108815309,0.12856700710576693
PT224957247,5042.84187456711,0.13170820205366587
PT624513002,5040.142452610694,0.12698520098535415
PT133012645,4894.535291480152,0.13695927078820108
PT823583722,5309.756559810559,0.12113201557125867
PT624096609,5418.959162243216,0.12448304605379992
PT524987172,4589.443011551783,0.13606105499987636
PT424513003,5012.15553327048,0.12981164695796743
PT224513004,4911.73219617271,0.1337453176065176
PT924854279,5196.006713093426,0.12552197852351055
PT633012794,4132.888569563072,0.14904019749244748
PT024513869,4822.291646680551,0.12678370317966856
PT523583719,4607.942191305197,0.17315101138023567
PT324096615,4957.013100546623,0.1346221640959978
PT623806020,5097.99940483535,0.12920106012350926
