tier_sample,estim_time,tJX,tW
PT023805915,5.216499,0.14062583806712178,0.021061056371623022
PT523799875,4.966418,0.12461161176201978,0.027393554400176757
PT723658015,5.09241,0.1493168678957263,0.02493920773831725
PT623583704,4.498969,0.16175843866539577,0.01925822776744946
PT923966027,4.447404,0.13071084545837083,0.008771839282168278
PT523769910,4.111555,0.10361334075863632,0.018206510987378556
PT023396456,3.9873089999999998,0.13054124245216372,0.014064872942390226
PT723474950,3.808332,0.16439035972499538,0.028571167214132175
PT023480600,3.554046,0.15232117776805984,0.034263365772326596
PT523085848,3.896251,0.14118643529947933,0.025949629295799446
PT223476701,3.2549799999999998,0.1582304679566451,0.022149278081344564
PT123769875,3.228361,0.1308858167750195,0.01984110994358946
PT223802666,3.07056,0.14684526285558022,0.021530407391269178
PT023802667,3.046718,0.15351269036160017,0.020448105533271765
PT323474933,2.936886,0.13202262881533366,0.028337620802199037
PT123621789,2.469426,0.17503429148615526,0.033358772453242105
PT123799896,2.769119,0.12426595981569469,0.026828595118433766
PT023974753,2.416131,0.14624480846974527,0.026280153432713574
PT723767731,2.291056,0.13704650038068045,0.018910343811059965
PT923583699,2.242881,0.15720787534184358,0.02735986978059304
PT423396430,2.22568,0.14835379852713884,0.019142423191386208
PT223767729,2.156316,0.14627520196920774,0.008966082328365514
PT423621858,2.047967,0.11470191376001357,0.017516070742275635
PT723805945,1.970161,0.19139891462167677,0.04221263841917617
PT423620929,2.111056,0.14293295089691285,0.030201123637797558
PT024513869,1.986252,0.14421111089518837,0.012598884221120692
PT424513003,1.962357,0.10461044519624088,0.022788872213144084
PT524987172,2.309911,0.19733169370398926,0.018779190210166514
PT624987181,2.179498,0.11614152035652844,0.01814437805157355
PT824914674,2.213288,0.10084244052361124,0.02064938593947472
PT424986494,2.382171,0.11727499761327796,0.01189589465342072
PT623806044,2.532674,0.11721016037078438,0.026005092642824947
PT923712082,2.593862,0.1361581476200436,0.019345962418136516
PT224957247,2.694926,0.14700407990408101,0.030476983287228254
PT823583722,2.8308619999999998,0.10220984052933012,0.01329320113328902
PT623806020,3.070764,0.1157416289679456,0.020235674582802805
PT733027431,2.867331,0.11448244179501463,0.016671279072918675
PT724513856,3.151195,0.09982274894207385,0.016336581521423626
PT624513002,3.310014,0.11681417327565399,0.015383264631693943
PT633027441,3.410869,0.12075945204561908,0.018517264525410575
PT224513004,3.594685,0.11629629919249071,0.019871843535004773
PT524914685,3.568099,0.1327848018517463,0.018684717005262922
PT624096609,4.283731,0.10364953715911006,0.017656615233416953
PT124148445,3.853445,0.13463479346159346,0.011276768988447107
PT523583719,4.287803,0.17553488031456918,0.01939577374275517
PT924854279,4.660204,0.1134486738174282,0.026720650183790856
PT524148448,4.687047,0.13510072854675276,0.02168695514282029
PT524015264,4.894881,0.11249845363176972,0.013310780135344692
PT124515292,4.648066,0.10101907115700025,0.02023068339982306
PT633012794,5.416776,0.19511791851828247,0.02411390778134479
PT324096615,5.215933,0.11150376197849982,0.01203095061546865
PT133012645,5.256808,0.12895978503622735,0.029324891152565192
