tier_sample,p_Am,p_M
PT023805915,4928.3407324431755,99.50240208676956
PT623583704,4733.057091807781,102.6693263424159
PT923966027,4298.0404490826,100.33143942724871
PT423620929,5091.387247863004,102.41989085238922
PT723805945,4451.396346922628,101.1189062953195
PT523799875,4469.310758855305,96.65861659148885
PT523085848,4236.184268230286,94.86349215672143
PT723767731,4576.23806834672,99.71322403768352
PT223767729,4978.763029390985,103.85685836898989
PT223476701,4043.628191869043,97.12046884448057
PT123769875,4889.829864172336,103.85108328143815
PT123621789,3947.5974642859064,99.18735533575175
PT023974753,4135.676925762771,96.53364153527576
PT023396456,4686.988295792952,101.57557961905175
PT523769910,5507.584986098715,102.38358607586414
PT223802666,5083.055620693414,102.48878478562365
PT423396430,4353.992982906828,99.26013082664952
PT323474933,5275.8989950397445,100.1108013209965
PT723658015,4259.968703133476,98.65350195467605
PT923583699,4984.967260828688,105.65791162441062
PT023480600,4168.18307674138,96.20646559481794
PT123799896,4745.60127913981,98.98578168089023
PT423621858,4624.3356640720995,99.0978803068498
PT023802667,5298.556072198161,102.31250354389195
PT723474950,4311.657968808982,101.98802276828994
PT923712082,3671.841259893029,84.49565658611183
PT624096609,4668.525702290416,86.2812363135211
PT733027431,4298.996795895086,88.12572893237879
PT524015264,4053.2643531688154,85.35637858505054
PT623806044,4746.723423092225,92.22973121221442
PT424513003,4187.309271888673,86.81797459194408
PT524987172,3695.4906170712743,87.42900018577592
PT633012794,3076.1805230584905,84.53515915213524
PT924854279,4481.2336759593745,87.37654855638851
PT633027441,3933.4786641120286,82.88133553275273
PT624987181,4018.367055645253,85.35525654638698
PT523583719,2846.9569746590287,72.09069184480039
PT524148448,4101.118206836073,88.85653970341524
PT724513856,4277.369538651423,87.68012776595245
PT224513004,3985.76730798543,85.84219558847856
PT224957247,4149.621680885919,85.72407578236417
PT624513002,4301.144829138927,87.89761583055828
PT424986494,3832.8462471010016,88.3469334675915
PT024513869,4162.287934466529,89.67215516768151
PT133012645,3896.2709279957726,84.35377570559933
PT124515292,3789.178740552663,84.05177609893272
PT824914674,3830.8556982165046,83.42345955843761
PT324096615,3988.39525536877,85.0675335909132
PT524914685,3677.7688847144136,85.15509913019834
PT623806020,4263.548694102312,86.40764325929356
PT124148445,3741.135466883833,86.84793100259945
PT823583722,4726.392930710264,88.67743816152182
