tier_sample,estim_time,tJX,tW
PT023805915,2.166802,0.14071395578374438,0.02027812274144357
PT523799875,2.043785,0.12407470785750502,0.03189092046265594
PT723658015,2.045243,0.14957824366336453,0.029494588210989495
PT623583704,2.030281,0.16192637711963648,0.018381983477728948
PT923966027,2.384308,0.1306390366772115,0.010482640705273149
PT523769910,2.2702780000000002,0.10501307482509929,0.012480353822238636
PT023396456,2.358499,0.13055719584782294,0.013714309981136662
PT723474950,2.632805,0.16407598493529504,0.03083511368605924
PT023480600,2.515762,0.15217035432017978,0.040730850129486386
PT523085848,2.6864879999999998,0.14068877597745583,0.03384649091402225
PT223476701,2.731644,0.15850502483710563,0.028565426615954858
PT123769875,3.046494,0.13134408191499738,0.017597024497267157
PT223802666,2.983685,0.14711194376116585,0.018463195473476884
PT023802667,3.230862,0.1540680514442927,0.016030378241141684
PT323474933,3.247499,0.1321888488981863,0.024947738691861104
PT123621789,3.520087,0.17440979376127974,0.038581846341349764
PT123799896,3.502279,0.12398924345145398,0.02796353763784137
PT023974753,3.56013,0.14671157179684374,0.03140429340817441
PT723767731,4.017274,0.1368814704248082,0.020533591138433872
PT923583699,3.912544,0.15827133005310476,0.023820267983453467
PT423396430,4.141087,0.14826328335013778,0.021725649734254556
PT223767729,4.246376,0.14649416925210426,0.008301798530966593
PT423621858,4.367322,0.11478364983735252,0.01891224196423651
PT723805945,4.564412,0.19123173589609757,0.04388821618032417
PT423620929,4.747731,0.14361448091191392,0.026623667942020066
PT024513869,5.049898,0.1440131987661188,0.014757292429221965
PT424513003,5.327465,0.10431779055438549,0.028639901120584323
PT524987172,5.206067,0.19794347064444687,0.02108669597398742
PT624987181,5.555919,0.1168171605741694,0.025234944271387994
PT824914674,5.997918,0.10123699818853686,0.03249116866195175
PT424986494,5.861071,0.11620933285351584,0.016901517646393478
PT623806044,6.103546,0.11766010021766433,0.02383769247358725
PT923712082,5.970455,0.13557432862100524,0.03017347192933259
PT224957247,6.195695,0.14691241618654066,0.03823236954844959
PT823583722,5.87683,0.10235284381737321,0.01427920269486756
PT623806020,5.69262,0.11567323096906285,0.024041982941842115
PT733027431,5.3926870000000005,0.11452014419177513,0.01889742578828437
PT724513856,5.511644,0.0996313326145236,0.021195455967614022
PT624513002,4.8264759999999995,0.11674557250330528,0.017472455367294384
PT633027441,4.876718,0.1219212720466982,0.030738433918172204
PT224513004,5.842607,0.11609977600654488,0.02706406442958273
PT524914685,5.039966,0.1330252676120039,0.029278632515746347
PT624096609,4.494607,0.10366054254779755,0.021517623595795825
PT124148445,4.260424,0.1351907828839582,0.0203752753603671
PT523583719,4.292686,0.18484043278208134,0.042226200659183206
PT924854279,3.870213,0.11304611212099214,0.0316036183742091
PT524148448,3.585995,0.13452350605051944,0.026670662479008473
PT524015264,3.216982,0.11274441829100679,0.021584969552282875
PT124515292,3.3409050000000002,0.10182999977974148,0.029314043943770247
PT633012794,3.49629,0.19564113789425586,0.033330165650237255
PT324096615,3.555256,0.11256959021204165,0.02007714441040961
PT133012645,3.487736,0.12909268662165438,0.04075529777102162
