tier_sample,p_Am
PT023805915,5064.354117877028
PT623583704,4804.795125130225
PT923966027,4408.411934192939
PT423620929,5171.136290469119
PT723805945,4549.512746796447
PT523799875,4652.59922234256
PT523085848,4447.89658814467
PT723767731,4702.550480466196
PT223767729,5029.816451752588
PT223476701,4209.895608672545
PT123769875,4941.093427605765
PT123621789,4074.542022184618
PT023974753,4314.942635641166
PT023396456,4779.761523794385
PT523769910,5591.47334575896
PT223802666,5160.909099979695
PT423396430,4486.344911406969
PT323474933,5402.8003906878475
PT723658015,4400.708370187931
PT923583699,5002.573475429723
PT023480600,4353.803168791192
PT123799896,4887.881936100881
PT423621858,4764.320259478165
PT023802667,5381.770687046423
PT723474950,4391.445679362978
PT923712082,4084.2701872651187
PT624096609,5093.678883058441
PT733027431,4667.1776885369145
PT524015264,4469.176540165449
PT623806044,5043.854792426372
PT424513003,4578.556400040302
PT524987172,4054.4033030086166
PT633012794,3455.2885181127967
PT924854279,4869.740080532978
PT633027441,4394.194591722788
PT624987181,4435.779441927631
PT523583719,3475.1601161081326
PT524148448,4442.621526292486
PT724513856,4653.786467027193
PT224513004,4389.743392053843
PT224957247,4561.566861062628
PT624513002,4675.569824142565
PT424986494,4176.933887915373
PT024513869,4490.813212317396
PT133012645,4320.444591421421
PT124515292,4222.459438530114
PT824914674,4274.383073646542
PT324096615,4409.325400284604
PT524914685,4075.275833699311
PT623806020,4668.632510588808
PT124148445,4106.434622676391
PT823583722,5100.96275620015
