tier_sample,estim_time,tJX,tW
PT023805915,1.177736,0.14084432127255356,0.01935906894642578
PT623583704,1.09909,0.1624318289149854,0.016001413889227403
PT923966027,1.149695,0.1325937877470611,0.022610805795727187
PT423620929,1.220641,0.14651818870570466,0.015826846072456945
PT723805945,1.197099,0.19004881416044903,0.05191664576987262
PT523799875,1.218945,0.12391602430252815,0.04854855143720019
PT523085848,1.175527,0.14451966709676098,0.06009293005998886
PT723767731,1.124051,0.13657372367318177,0.028177984626731465
PT223767729,0.949088,0.14845015364391534,0.011198535043705089
PT223476701,0.973895,0.16312097161336875,0.05685608447893462
PT123769875,0.976281,0.13360640994592432,0.012138160850721941
PT123621789,0.92101,0.1744893083264058,0.06589266498095671
PT023974753,0.927651,0.1540504210597795,0.05426836463451907
PT023396456,0.903842,0.13049608649588476,0.014468979730522474
PT523769910,0.892133,0.11252134422244173,0.01287342471794954
PT223802666,0.894189,0.1490157057975231,0.008951571213117328
PT423396430,0.902933,0.14894320737468264,0.03475691712993443
PT323474933,0.923003,0.13333198651340195,0.014973781993776322
PT723658015,0.896205,0.15174826332952934,0.04795194532460024
PT923583699,0.89922,0.16307807502381558,0.019528542416006604
PT023480600,0.880244,0.15384398915440645,0.06678380056217607
PT123799896,0.886188,0.12271860720372053,0.0325705197476313
PT423621858,0.894249,0.1153457093571491,0.026739808395215402
PT023802667,0.925644,0.15794496372551017,0.005918268872324026
PT723474950,0.882828,0.16260292409985183,0.040880336177283906
PT923712082,0.923958,0.1512026996023692,0.08660669060429078
PT624096609,0.932345,0.10765180902495766,0.04522465276836795
PT733027431,0.889857,0.12182280592732528,0.04785076609371834
PT524015264,0.870505,0.12914160560210206,0.06430895766313892
PT623806044,0.903509,0.11637131899271701,0.032607151313506895
PT424513003,0.878607,0.11158406304820917,0.06441860036307932
PT524987172,0.929855,0.20992924527765142,0.07208272271587517
PT633012794,0.921713,0.2323597596903358,0.11252003880355663
PT924854279,0.90788,0.11291561415797854,0.057000926501510236
PT633027441,0.894619,0.15093395955528338,0.08082855694714165
PT624987181,0.905551,0.13418095955054818,0.0699566960298074
PT523583719,0.898137,0.31391839595039156,0.15176151747944652
PT524148448,0.900109,0.1350922493575299,0.06047775012035346
PT724513856,0.911805,0.10605859720407866,0.052485912435299056
PT224513004,0.884009,0.1305120466839229,0.07147832410460668
PT224957247,0.873435,0.15439302598156274,0.07654235702091274
PT624513002,0.895832,0.1173912859141406,0.046464546506220644
PT424986494,0.881734,0.12400703303465829,0.06144397289310918
PT024513869,0.876024,0.14896584350155992,0.045069693650473454
PT133012645,0.874997,0.14933158529890578,0.08869653967925908
PT124515292,0.872106,0.12823897848587074,0.08400073961076997
PT824914674,0.943651,0.13052898228071996,0.08521690280037371
PT324096615,0.895189,0.13347331533890058,0.0660768603256524
PT524914685,0.895548,0.1486547563750742,0.08399483342973281
PT623806020,0.87259,0.12059005938700189,0.05260618680069716
PT124148445,0.899717,0.1551541507241767,0.06961497769512892
PT823583722,0.878453,0.10241333030705431,0.030065414702983278
