ind_id,tier_sample,tJX,tW
PT023396456,PT023396456,0.132069899024195,0.015530357349320898
PT023480600,PT023480600,0.16793115678937914,0.026288482417709664
PT023802667,PT023802667,0.19440710321438762,0.054052189502567995
PT023805915,PT023805915,0.1499484520620018,0.045704279188318826
PT023974753,PT023974753,0.1718019579122869,0.015744923471270655
PT024513869,PT024513869,0.14859219198180956,0.02643976740712257
PT123621789,PT123621789,0.22143021197795837,0.012647946888666054
PT123769875,PT123769875,0.14298952673533707,0.02263470789506788
PT123799896,PT123799896,0.13090476624590655,0.04475163534693972
PT124148445,PT124148445,0.17563660372902007,0.04737125756520258
PT124515292,PT124515292,0.14756624278344657,0.05470725049056585
PT133012645,PT133012645,0.16121177501781384,0.06060636875821695
PT223476701,PT223476701,0.1861353806723191,0.010258109987130172
PT223767729,PT223767729,0.16719189440913515,0.015387973166709135
PT223802666,PT223802666,0.16679294851136875,0.04273653935960509
PT224513004,PT224513004,0.13785912464857325,0.045258982562270574
PT224957247,PT224957247,0.1544527845550821,0.05295210849033125
PT323474933,PT323474933,0.16429468566264854,0.07132270722581559
PT324096615,PT324096615,0.13866430892047138,0.03839327608809811
PT423396430,PT423396430,0.15267133395545945,0.012279020252845737
PT423620929,PT423620929,0.16801682978199625,0.05175585666650624
PT423621858,PT423621858,0.11401046370243804,0.02619799657182718
PT424513003,PT424513003,0.11031605970359488,0.04252880972455159
PT424986494,PT424986494,0.1371572482753823,0.041053535769520096
PT523085848,PT523085848,0.15023914701523391,0.029443273246028207
PT523583719,PT523583719,0.44606523694718836,0.1061673538674959
PT523769910,PT523769910,0.18350778613673166,0.06044761816917269
PT523799875,PT523799875,0.12311346360724035,0.0382933044526327
PT524015264,PT524015264,0.13086364062878095,0.038232377156396095
PT524148448,PT524148448,0.13845693992820665,0.04052666168645457
PT524914685,PT524914685,0.17772871623524839,0.05853221239447666
PT524987172,PT524987172,0.23037365685324676,0.050144925967449544
PT623583704,PT623583704,0.16821025552127655,0.019639948503343916
PT623806020,PT623806020,0.11827342668399929,0.03508870939800816
PT623806044,PT623806044,0.1277237818767514,0.028508184903381452
PT624096609,PT624096609,0.1064761109073186,0.032783207591321764
PT624513002,PT624513002,0.11583482895910172,0.02760919523489688
PT624987181,PT624987181,0.13774285111308146,0.04307906719289636
PT633012794,PT633012794,0.32276351664497754,0.09068613900054787
PT633027441,PT633027441,0.1575649419423812,0.049881721475964015
PT723474950,PT723474950,0.17364459306629437,0.008237109126613282
PT723658015,PT723658015,0.1605371545500821,0.01173915915628082
PT723767731,PT723767731,0.13712679107308795,0.022558674633376793
PT723805945,PT723805945,0.19507634041017788,0.03138486363353519
PT724513856,PT724513856,0.10200106937985276,0.03332158145056649
PT733027431,PT733027431,0.11743598069065084,0.02953194355435484
PT823583722,PT823583722,0.10932730397067804,0.02205301067008277
PT824914674,PT824914674,0.14798700112437166,0.05504196872114481
PT923583699,PT923583699,0.17460443710331527,0.0317782704090187
PT923712082,PT923712082,0.18012849759188687,0.059551793296721243
PT923966027,PT923966027,0.13570384053926213,0.014191887969516308
PT924854279,PT924854279,0.11259433211877448,0.042123254917556426
