tier_sample,p_M,v
PT023805915,85.77130373686241,0.0545464007575694
PT623583704,92.0875720217314,0.0533549954365576
PT923966027,97.26233414142436,0.047852122078256454
PT423620929,86.4564323508672,0.057332851715668876
PT723805945,95.28095980246152,0.04976788939196908
PT523799875,89.7936668727886,0.048722023766949354
PT523085848,91.61780400810113,0.04573455464485459
PT723767731,91.46491672867145,0.05075284608193399
PT223767729,89.47751264967883,0.056545209954604596
PT223476701,98.50166560400089,0.044227029467067816
PT123769875,90.76580281106376,0.055498181554620364
PT123621789,103.5981691145783,0.04374627843758268
PT023974753,95.83194328738632,0.045075409263916524
PT023396456,91.66401493897841,0.052520244601225285
PT523769910,81.11489531925886,0.06197873559587952
PT223802666,86.67341823371075,0.05728975021837926
PT423396430,94.96698246732922,0.04817843875706292
PT323474933,81.82922144435867,0.05863746157574727
PT723658015,95.90150933193567,0.04696987542617963
PT923583699,91.18744029934533,0.05700608013257551
PT023480600,94.71015894954613,0.045336903077424065
PT123799896,87.94242154145753,0.05241692912415813
PT423621858,90.01127942276821,0.051086400952558474
PT023802667,83.65458912633062,0.059657329520694705
PT723474950,98.97962696782335,0.04844302820867111
PT923712082,94.25483988876447,0.03945210500707944
PT624096609,79.4532567231985,0.05045387991754527
PT733027431,86.99515613946471,0.04708436624618952
PT524015264,87.86560139435252,0.04371524932668561
PT623806044,84.745885388358,0.05326434461668794
PT424513003,87.33313971590587,0.04551518243273099
PT524987172,98.50066488711963,0.040440613402749404
PT633012794,111.7683447453787,0.03339758737332782
PT924854279,83.13243162170521,0.048880356942304776
PT633027441,86.74128312173397,0.04186329159522556
PT624987181,88.71241407214113,0.04332653852583139
PT523583719,95.88785626523357,0.028689993251520808
PT524148448,91.29427203602611,0.045131703369177496
PT724513856,86.80939101989748,0.04672950473054598
PT224513004,89.8708495750239,0.04310560628965765
PT224957247,86.58527964846556,0.04483108160654822
PT624513002,86.78285282766933,0.047039503236361024
PT424986494,96.3382700778945,0.04209300957167275
PT024513869,91.25448197837761,0.04602285114316608
PT133012645,89.19369856337775,0.04180596184701691
PT124515292,91.5531298832768,0.040602555349276634
PT824914674,89.43301323975416,0.04089752317319675
PT324096615,88.82638608698421,0.042946178747295075
PT524914685,94.89640647687366,0.03964588598281124
PT623806020,85.62154410892394,0.0462224614527135
PT124148445,95.83100108314818,0.040713472376759596
PT823583722,81.12460729423512,0.051861687683251605
