ind_id,tier_sample,tJX,tW
PT023396456,PT023396456,0.13196529573945265,0.007877810910523794
PT023480600,PT023480600,0.16020963748184588,0.04575138875474038
PT023802667,PT023802667,0.1827789665225038,0.010065886489894302
PT023805915,PT023805915,0.1480673307412415,0.016314282425055927
PT023974753,PT023974753,0.16212725737521533,0.03611416181034806
PT024513869,PT024513869,0.14812356330035278,0.02931857622597244
PT123621789,PT123621789,0.19311936747516245,0.04583898263858644
PT123769875,PT123769875,0.1424536045312523,0.011926953972492728
PT123799896,PT123799896,0.13016354697309,0.02536502081693419
PT124148445,PT124148445,0.17738990650328404,0.043875901107438435
PT124515292,PT124515292,0.14759760131301192,0.054646360763347765
PT133012645,PT133012645,0.1605028934933092,0.062115862915901016
PT223476701,PT223476701,0.17317244409821542,0.03511339434555701
PT223767729,PT223767729,0.1629492152717897,0.009853360905616637
PT223802666,PT223802666,0.1625009370409161,0.012212484784845235
PT224513004,PT224513004,0.13683058361214762,0.04766880154226176
PT224957247,PT224957247,0.15362875293605466,0.05608466208328682
PT323474933,PT323474933,0.1544850071624899,0.021781179799673926
PT324096615,PT324096615,0.13763443372217343,0.041212952050779274
PT423396430,PT423396430,0.1498678736842571,0.02176790275898107
PT423620929,PT423620929,0.1621661446505492,0.019050760659276123
PT423621858,PT423621858,0.11460879092343157,0.01634041147771417
PT424513003,PT424513003,0.10946525002418167,0.04567156857342671
PT424986494,PT424986494,0.13814972705859876,0.03861604092141079
PT523085848,PT523085848,0.14726388257052858,0.03873236663787654
PT523583719,PT523583719,0.4558154476668629,0.09605517381666562
PT523769910,PT523769910,0.15962296708880985,0.007592062928308988
PT523799875,PT523799875,0.12426031564635477,0.0331470483507836
PT524015264,PT524015264,0.12993172774350023,0.04120156602421042
PT524148448,PT524148448,0.13777027306780346,0.04286761478102812
PT524914685,PT524914685,0.17994040332098918,0.055065014142915314
PT524987172,PT524987172,0.2322378419793861,0.045943692026396
PT623583704,PT623583704,0.1680455535692951,0.012708247726186417
PT623806020,PT623806020,0.11789061321172871,0.037826984694986764
PT623806044,PT623806044,0.12811901433509693,0.03228798281965515
PT624096609,PT624096609,0.10695059469756622,0.03671880701999409
PT624513002,PT624513002,0.11611016600686867,0.0309412304712853
PT624987181,PT624987181,0.13672302441189269,0.04593461224161225
PT633012794,PT633012794,0.3328373575918948,0.07787762184025522
PT633027441,PT633027441,0.1564226172851628,0.05276913577644516
PT723474950,PT723474950,0.16543467597072048,0.0287443352351944
PT723658015,PT723658015,0.15486536237760698,0.03115096282100058
PT723767731,PT723767731,0.13752469389057564,0.017865715065454726
PT723805945,PT723805945,0.19185017885546235,0.0409529119959483
PT724513856,PT724513856,0.10157075995345732,0.03661038794525008
PT733027431,PT733027431,0.11691188520345429,0.032836714767144344
PT823583722,PT823583722,0.11015664717607355,0.025619513607412332
PT824914674,PT824914674,0.14745652804312703,0.056025939870177524
PT923583699,PT923583699,0.17350386451803915,0.02183700381591978
PT923712082,PT923712082,0.1819689519861433,0.056545296232689675
PT923966027,PT923966027,0.13278362221876824,0.010194406432161547
PT924854279,PT924854279,0.11256287937990687,0.045797700713663694
