ind_id,tier_sample,tJX,tW
PT023396456,PT023396456,0.12670226723379818,0.0466314165159704
PT023480600,PT023480600,0.15046079712939722,0.05179763770912907
PT023802667,PT023802667,0.15217983320415088,0.08928673485896195
PT023805915,PT023805915,0.1360592904344755,0.07843031276806854
PT023974753,PT023974753,0.14604032835747202,0.037433795354313855
PT024513869,PT024513869,0.141601558137153,0.044815205976827185
PT123621789,PT123621789,0.18014869803979303,0.017977230850501534
PT123769875,PT123769875,0.12740678717252923,0.053840862068109015
PT123799896,PT123799896,0.11905369872565395,0.07392292635016504
PT124148445,PT124148445,0.13499956287471776,0.026379328745622144
PT124515292,PT124515292,0.10030750613371633,0.04977177530006044
PT133012645,PT133012645,0.12577358292269997,0.07032417315090297
PT223476701,PT223476701,0.1593410664356121,0.025375155204934902
PT223767729,PT223767729,0.14785563761719786,0.04883867782472396
PT223802666,PT223802666,0.141762967751334,0.07533015560404735
PT224513004,PT224513004,0.1137517422506646,0.05752605060819778
PT224957247,PT224957247,0.1433270303459715,0.0824857642017404
PT323474933,PT323474933,0.12933962383341285,0.1044336118159143
PT324096615,PT324096615,0.11125583497427956,0.05407572933794216
PT423396430,PT423396430,0.1466554789178641,0.03433202099571906
PT423620929,PT423620929,0.13486620619782874,0.08587370384992103
PT423621858,PT423621858,0.1101556178558396,0.055846070796391985
PT424513003,PT424513003,0.10101157514104395,0.07202574745174192
PT424986494,PT424986494,0.11556018908394146,0.023481637594405753
PT523085848,PT523085848,0.13860977557253115,0.05596434776134893
PT523583719,PT523583719,0.18624459822842485,0.028422065319961172
PT523769910,PT523769910,0.10730398093136097,0.0997534902636225
PT523799875,PT523799875,0.1184546607129765,0.06534021391920541
PT524015264,PT524015264,0.11186334059015633,0.06009816608737024
PT524148448,PT524148448,0.13100840477666678,0.05518202021097852
PT524914685,PT524914685,0.13256156982686626,0.03668702057861923
PT524987172,PT524987172,0.1985713477198698,0.01964408243061145
PT623583704,PT623583704,0.15949202714372565,0.046031125115211756
PT623806020,PT623806020,0.11608559419642646,0.06606389350692728
PT623806044,PT623806044,0.11313022413244068,0.09022287908286321
PT624096609,PT624096609,0.10998222502822946,0.10342280161250819
PT624513002,PT624513002,0.12196079829298177,0.06448151283133317
PT624987181,PT624987181,0.11543662921009147,0.060229114442610907
PT633012794,PT633012794,0.20492630931791478,0.029891401258625813
PT633027441,PT633027441,0.12300511309162546,0.06915189127710512
PT723474950,PT723474950,0.1642803731146439,0.030965641153982666
PT723658015,PT723658015,0.14840663063229975,0.03869190419368044
PT723767731,PT723767731,0.1339331275700148,0.0513020340445018
PT723805945,PT723805945,0.1869567383214713,0.05894227129390699
PT724513856,PT724513856,0.10061232988655076,0.06883717219901468
PT733027431,PT733027431,0.11351412523915441,0.06568769559992822
PT823583722,PT823583722,0.10889396794310048,0.09051093211309814
PT824914674,PT824914674,0.0995821128472348,0.06009414593145897
PT923583699,PT923583699,0.15271840179281598,0.06348555685406512
PT923712082,PT923712082,0.13468843237446734,0.03945516092654732
PT923966027,PT923966027,0.1306471584429869,0.015369839071625703
PT924854279,PT924854279,0.11382892066628746,0.09568056511256186
