tier_sample,estim_time,tJX,tW
PT423396430,0.681459,0.1466554789178641,0.03433202099571906
PT723474950,0.626147,0.16428037311464394,0.030965641153982666
PT123799896,0.724104,0.11905369872565394,0.07392292635016504
PT723767731,0.729632,0.1339331275700148,0.0513020340445018
PT023396456,0.688025,0.12670226723379818,0.0466314165159704
PT023802667,0.694834,0.15217983320415085,0.08928673485896195
PT723805945,0.738035,0.1869567383214713,0.05894227129390699
PT523799875,0.830078,0.11845466071297653,0.06534021391920541
PT723658015,0.685427,0.14840663063229975,0.03869190419368044
PT023805915,0.859874,0.1360592904344755,0.07843031276806854
PT023974753,0.704453,0.14604032835747202,0.037433795354313855
PT223476701,0.808813,0.15934106643561213,0.025375155204934902
PT923583699,0.76371,0.15271840179281598,0.06348555685406512
PT423620929,0.746324,0.13486620619782871,0.08587370384992103
PT923966027,0.802848,0.13064715844298688,0.015369839071625703
PT523769910,0.711668,0.107303980931361,0.0997534902636225
PT123621789,0.77837,0.18014869803979305,0.017977230850501534
PT223802666,0.694278,0.141762967751334,0.07533015560404735
PT223767729,0.792747,0.14785563761719783,0.04883867782472396
PT123769875,0.822414,0.12740678717252923,0.053840862068109015
PT423621858,0.637733,0.1101556178558396,0.055846070796391985
PT623583704,0.707947,0.15949202714372565,0.046031125115211756
PT023480600,0.710172,0.15046079712939722,0.05179763770912907
PT323474933,0.714582,0.12933962383341283,0.1044336118159143
PT523085848,0.759375,0.13860977557253115,0.05596434776134893
PT224957247,0.620601,0.14332703034597147,0.0824857642017404
PT824914674,0.640461,0.0995821128472348,0.06009414593145897
PT524987172,0.605198,0.19857134771986984,0.01964408243061145
PT733027431,0.628819,0.11351412523915443,0.06568769559992822
PT923712082,0.646017,0.13468843237446737,0.03945516092654732
PT823583722,0.664516,0.10889396794310048,0.09051093211309814
PT224513004,0.688527,0.11375174225066462,0.05752605060819778
PT024513869,0.635438,0.141601558137153,0.044815205976827185
PT924854279,0.657976,0.11382892066628744,0.09568056511256186
PT633027441,0.647926,0.12300511309162544,0.06915189127710512
PT524148448,0.62744,0.13100840477666675,0.05518202021097852
PT633012794,0.659399,0.20492630931791478,0.029891401258625813
PT124515292,0.65026,0.10030750613371632,0.04977177530006044
PT424513003,0.636439,0.10101157514104395,0.07202574745174192
PT624513002,0.62442,0.1219607982929818,0.06448151283133317
PT523583719,0.684569,0.18624459822842485,0.028422065319961172
PT623806044,0.691515,0.1131302241324407,0.09022287908286321
PT524015264,0.630887,0.11186334059015635,0.06009816608737024
PT133012645,0.623851,0.12577358292269994,0.07032417315090297
PT624987181,0.627133,0.11543662921009146,0.060229114442610907
PT324096615,0.636595,0.11125583497427956,0.05407572933794216
PT424986494,0.628018,0.11556018908394147,0.023481637594405753
PT724513856,0.629887,0.10061232988655079,0.06883717219901468
PT124148445,0.653472,0.13499956287471782,0.026379328745622144
PT623806020,0.626044,0.11608559419642644,0.06606389350692728
PT524914685,0.642304,0.1325615698268663,0.03668702057861923
PT624096609,0.679578,0.10998222502822946,0.10342280161250819
