ind_id,tier_sample,tJX,tW
PT023396456,PT023396456,0.12509897909881906,0.06628595895539033
PT023480600,PT023480600,0.14765097071320907,0.0690236566437679
PT023802667,PT023802667,0.15283934927458512,0.11032470577789023
PT023805915,PT023805915,0.13503019938517424,0.09803202404162349
PT023974753,PT023974753,0.14311006225785544,0.05224473906107665
PT024513869,PT024513869,0.1404040045639415,0.06316099004272151
PT123621789,PT123621789,0.17610322205260198,0.03501076253876707
PT123769875,PT123769875,0.12585783061765832,0.0742097751223117
PT123799896,PT123799896,0.11761306444080608,0.09318022910680214
PT124148445,PT124148445,0.13393886972365096,0.04294828581055861
PT124515292,PT124515292,0.09961453427172806,0.06601348089525193
PT133012645,PT133012645,0.12464367593576514,0.08674558009629423
PT223476701,PT223476701,0.15768072194313187,0.04258526947736283
PT223767729,PT223767729,0.1489682141421412,0.06985843804701886
PT223802666,PT223802666,0.1414512835529975,0.09605625741082567
PT224513004,PT224513004,0.1135233317953338,0.07455825408988119
PT224957247,PT224957247,0.1423329025623546,0.09974992771603473
PT323474933,PT323474933,0.13014653374909788,0.12489656485556165
PT324096615,PT324096615,0.11174367313509741,0.07113047328693153
PT423396430,PT423396430,0.1447208583574511,0.05281517065526153
PT423620929,PT423620929,0.13369739934962965,0.1062237352252295
PT423621858,PT423621858,0.10876902989642125,0.07484507942720993
PT424513003,PT424513003,0.09994940263426066,0.08968278287695862
PT424986494,PT424986494,0.11421496862306744,0.04065092104344007
PT523085848,PT523085848,0.1370762025477841,0.07334809971908197
PT523583719,PT523583719,0.18670950237166822,0.04032524181167395
PT523769910,PT523769910,0.11073952361997949,0.12093046086281252
PT523799875,PT523799875,0.11601680903409566,0.08354031990862198
PT524015264,PT524015264,0.11221358169573513,0.07736377458243089
PT524148448,PT524148448,0.1292749798518519,0.07302489079683101
PT524914685,PT524914685,0.1311542473457812,0.052727909185541884
PT524987172,PT524987172,0.19738283485481548,0.033813025631855724
PT623583704,PT623583704,0.1582196745332282,0.0659970205873984
PT623806020,PT623806020,0.11711575892448114,0.08379896256731058
PT623806044,PT623806044,0.11319615538749545,0.11008862286272049
PT624096609,PT624096609,0.11315764899618666,0.12179189110771567
PT624513002,PT624513002,0.12420921936124125,0.08272343105142478
PT624987181,PT624987181,0.11517803410893991,0.0772584954963
PT633012794,PT633012794,0.2032814708637435,0.022637403898693977
PT633027441,PT633027441,0.1238331352108756,0.0856539922606941
PT723474950,PT723474950,0.16001578569389205,0.04952163661151534
PT723658015,PT723658015,0.14541639917242363,0.05669677239533962
PT723767731,PT723767731,0.13219211476018242,0.07040397140739436
PT723805945,PT723805945,0.18134927116840588,0.07749183364960834
PT724513856,PT724513856,0.10160592085136866,0.08700219519872195
PT733027431,PT733027431,0.11431719731293526,0.08402006336449157
PT823583722,PT823583722,0.11242944806403986,0.10982527399619528
PT824914674,PT824914674,0.09929453477279279,0.07634718475620134
PT923583699,PT923583699,0.14995401545604914,0.08412602936428416
PT923712082,PT923712082,0.13334806489374887,0.05540954668775239
PT923966027,PT923966027,0.1303650033057349,0.03240369988468857
PT924854279,PT924854279,0.11487527459700354,0.11417100452735159
