tier_sample,estim_time,tJX,tW
PT423396430,0.60466,0.14472085835745116,0.05281517065526153
PT723474950,0.713958,0.16001578569389202,0.04952163661151534
PT123799896,0.668418,0.11761306444080606,0.09318022910680214
PT723767731,0.520133,0.13219211476018244,0.07040397140739436
PT023396456,0.555719,0.12509897909881906,0.06628595895539033
PT023802667,0.711451,0.15283934927458515,0.11032470577789023
PT723805945,0.521901,0.18134927116840588,0.07749183364960834
PT523799875,0.500049,0.11601680903409566,0.08354031990862198
PT723658015,0.580721,0.14541639917242363,0.05669677239533962
PT023805915,0.69121,0.13503019938517424,0.09803202404162349
PT023974753,0.526139,0.14311006225785544,0.05224473906107665
PT223476701,0.504319,0.15768072194313187,0.04258526947736283
PT923583699,0.818315,0.14995401545604914,0.08412602936428416
PT423620929,0.549178,0.13369739934962965,0.1062237352252295
PT923966027,0.50808,0.13036500330573492,0.03240369988468857
PT523769910,0.585701,0.1107395236199795,0.12093046086281252
PT123621789,0.512046,0.17610322205260198,0.03501076253876707
PT223802666,0.607841,0.14145128355299752,0.09605625741082567
PT223767729,0.520815,0.14896821414214118,0.06985843804701886
PT123769875,0.536614,0.12585783061765832,0.0742097751223117
PT423621858,0.625387,0.10876902989642125,0.07484507942720993
PT623583704,0.530569,0.15821967453322813,0.0659970205873984
PT023480600,0.753651,0.14765097071320904,0.0690236566437679
PT323474933,0.575,0.13014653374909788,0.12489656485556165
PT523085848,0.506564,0.1370762025477841,0.07334809971908197
PT224957247,0.501567,0.14233290256235462,0.09974992771603473
PT824914674,0.571967,0.0992945347727928,0.07634718475620134
PT524987172,0.52931,0.19738283485481548,0.033813025631855724
PT733027431,0.580142,0.11431719731293527,0.08402006336449157
PT923712082,0.617339,0.13334806489374884,0.05540954668775239
PT823583722,0.52777,0.11242944806403984,0.10982527399619528
PT224513004,0.522417,0.11352333179533379,0.07455825408988119
PT024513869,0.523971,0.1404040045639415,0.06316099004272151
PT924854279,0.559986,0.11487527459700353,0.11417100452735159
PT633027441,0.575676,0.1238331352108756,0.0856539922606941
PT524148448,0.557949,0.12927497985185188,0.07302489079683101
PT633012794,0.603763,0.2032814708637435,0.022637403898693977
PT124515292,0.576181,0.09961453427172808,0.06601348089525193
PT424513003,0.504332,0.09994940263426068,0.08968278287695862
PT624513002,0.511161,0.12420921936124127,0.08272343105142478
PT523583719,0.590712,0.1867095023716682,0.04032524181167395
PT623806044,0.531997,0.11319615538749546,0.11008862286272049
PT524015264,0.526218,0.11221358169573512,0.07736377458243089
PT133012645,0.502087,0.12464367593576513,0.08674558009629423
PT624987181,0.532343,0.11517803410893993,0.0772584954963
PT324096615,0.51278,0.11174367313509742,0.07113047328693153
PT424986494,0.52833,0.11421496862306744,0.04065092104344007
PT724513856,0.498227,0.10160592085136864,0.08700219519872195
PT124148445,0.507772,0.133938869723651,0.04294828581055861
PT623806020,0.501708,0.11711575892448114,0.08379896256731058
PT524914685,0.521938,0.1311542473457812,0.052727909185541884
PT624096609,0.704164,0.11315764899618665,0.12179189110771567
