ind_id,tier_sample,tJX,tW
PT023396456,Trial2020,0.1320698990241951,0.015530357349324774
PT023480600,Trial2020,0.1679311567894172,0.026288482417616298
PT023802667,Trial2020,0.19440710321438864,0.05405218950257182
PT023805915,Trial2020,0.1499484520620021,0.04570427918832258
PT023974753,Trial2020,0.17180195791232727,0.01574492347118938
PT024513869,Trial2021,0.1472425725476629,0.03479256499785599
PT123621789,Trial2020,0.22143021197801277,0.012647946888685735
PT123769875,Trial2020,0.1429895267353373,0.0226347078950713
PT123799896,Trial2020,0.13090476624590694,0.044751635346943666
PT124148445,Trial2021,0.1928641354844264,0.014849146912377664
PT124515292,Trial2021,0.15275198607210305,0.04551558489126879
PT133012645,Trial2021,0.16121851388988145,0.06059195037731771
PT223476701,Trial2020,0.18613538067235877,0.010258109987150241
PT223767729,Trial2020,0.16719189440913615,0.015387973166713179
PT223802666,Trial2020,0.16679294851136936,0.04273653935960886
PT224513004,Trial2021,0.13556220671104993,0.05067301430381703
PT224957247,Trial2021,0.14963717906608254,0.07366490452755131
PT323474933,Trial2020,0.16429468566264943,0.07132270722581927
PT324096615,Trial2021,0.1354437775466871,0.04723182206498225
PT423396430,Trial2020,0.1526713339554844,0.012279020252801628
PT423620929,Trial2020,0.16801682978199706,0.05175585666651
PT423621858,Trial2020,0.114010463702438,0.026197996571831035
PT424513003,Trial2021,0.10534897374730054,0.06305529365701432
PT424986494,Trial2021,0.1485847839795182,0.01653037760357692
PT523085848,Trial2020,0.15023914701526475,0.029443273245934716
PT523583719,Trial2021,0.5303631143056393,0.020864855440887262
PT523769910,Trial2020,0.18350778613673346,0.06044761816917647
PT523799875,Trial2020,0.12311346360723938,0.03829330445263658
PT524015264,Trial2021,0.12678025416084782,0.051819590284835945
PT524148448,Trial2021,0.13710529160256918,0.045244202115143295
PT524914685,Trial2021,0.1985011823696409,0.026616297816820806
PT524987172,Trial2021,0.24674273853290418,0.018702313745459918
PT623583704,Trial2020,0.1682102555212767,0.019639948503347448
PT623806020,Trial2021,0.11595192935722977,0.058515495975282585
PT623806044,Trial2021,0.13589479475216995,0.07589494954673927
PT624096609,Trial2021,0.11616683948157347,0.09059650830051391
PT624513002,Trial2021,0.11875576874995471,0.054515445530824935
PT624987181,Trial2021,0.13419426341277127,0.053914153130057735
PT633012794,Trial2021,0.4145346635745115,0.036146386388578006
PT633027441,Trial2021,0.15348732795167627,0.06069707610620527
PT723474950,Trial2020,0.17364459306633143,0.008237109126584612
PT723658015,Trial2020,0.16053715455011072,0.01173915915618577
PT723767731,Trial2020,0.1371267910730875,0.022558674633380713
PT723805945,Trial2020,0.19507634041020905,0.031384863633442235
PT724513856,Trial2021,0.09946297618769503,0.05883034328611626
PT733027431,Trial2021,0.11426715206666027,0.05547541172954096
PT823583722,Trial2021,0.1260236009546415,0.07652843903282706
PT824914674,Trial2021,0.14961017423142256,0.05200350658785674
PT923583699,Trial2020,0.1746044371033156,0.03177827040902262
PT923712082,Trial2021,0.19760039844609567,0.0309551652470971
PT923966027,Trial2020,0.1357038405392771,0.014191887969614066
PT924854279,Trial2021,0.11620555888430346,0.08466098336540877
